ID,Timesamp,Conen
1223816001160208384,2020-02-02 03:50:46,RT @NicholsUpising: Epic cowd onigh in Ceda Rapids fo @BenieSandes and @vampieweekend. hps://.co/dbH7NPsM7P
1223770246122823680,2020-02-02 00:48:57,"RT @SchwazFoIowa: This is wha ou movemen looks like,  an amazing canvass launch wih @ninaune @ConelWes and @SusanSaandon in Wa¶"
1223764528434831360,2020-02-02 00:26:14,Thee ae only wo days unil he Iowa Caucus! If we keep up he had wok we can win his ogehe. Join us live in Ceda Rapids fo ou caucus conce and ally feauing @vampieweekend! hps://.co/7CcWBmFURK
1223748073974902785,2020-02-01 23:20:51,"Im honoed o have he suppo of @uniehee23's Texas Chape. Unions like @UNITEHERE ae he las line of defense fo wokes agains copoae geed. Togehe, we ae going o double union membeship naionwide and gealy expand wokes ighs o collecively bagain. hps://.co/ZbaflaUlAZ"
1223723237248577538,2020-02-01 21:42:10,RT @ninaune: Living while Black in Ameica has always been a poliical ac. I do wha I do in hono of ou ancesos who moved mounains¶
1223720211347640322,2020-02-01 21:30:08,"The si-in a Woolwohs in Geensboo on Feb. 1, 1960 began a si-in movemen of 70,000 paicipans and some 3,000 aess.
60 yeas lae, he figh fo acial jusice is fa fom ove.
We mus hono hose leades and oo ou acism eveywhee i exiss. #BlackHisoyMonh hps://.co/cZVoRD4cZ7"
1223704065047220234,2020-02-01 20:25:59,This is he iches couny in he hisoy of he wold. We can affod o guaanee healh cae and educaion fo all ou people. Wha we need is he poliical will. #NoMeUs hps://.co/3kIbDxvDHV
1223689024365264896,2020-02-01 19:26:13,"RT @sunisemvm: Ou saegy fo 2020 isn' jus abou elecing @BenieSandes.
I's abou building a movemen of young people in evey c¶"
1223683460860194817,2020-02-01 19:04:06,The fuue of he plane is a sake. The only way we will solve his cisis is by building a mass movemen of people ha is poweful enough o sand up o he unlimied geed of he fossil fuel indusy. #NoMeUs
1223674807046365184,2020-02-01 18:29:43,RT @biebiejoy: The poblems ha we have did no come down fom he heavens. They ae made by human decisions. And good human decisions¶
1223673135280599041,2020-02-01 18:23:04,RT @People4Benie: Twee o #NoMeUs on how you've helped build he poliical evoluion.
1223672946453028865,2020-02-01 18:22:19,RT @samoiginals: #NoMeUs hps://.co/GZDKI0IQgb
1223672867742720001,2020-02-01 18:22:01,"RT @he_vello: A bee wold is possible and is up o us o make i happen.
Les do his ogehe. 
All of us.
#NoMeUs 
 hps://¶"
1223672697625948161,2020-02-01 18:21:20,RT @emily_isaac_: Im so moved by he housands of volunees on he gound in Iowa alking o voes abou how we can build a couny ha¶
1223672583050223616,2020-02-01 18:20:53,"RT @SephCW_: This movemen is abou ensuing ha hose a he op ae woking fo he many, no he money. Is abou fighing fo someon¶"
1223672168942272518,2020-02-01 18:19:14,RT @BeccaRas: I've been oganizing fo 14 yeas. I saed as a 16 yea old looking fo a way o expess my age abou he wa in Iaq.¶
1223671327581708289,2020-02-01 18:15:53,RT @aiannaijones: despai is no an opion. ou job is o give people hope. #NoMeUs
1223670210185420800,2020-02-01 18:11:27,"We ae wo days fom he Iowa caucus and now is he ime o ge involved and help us win. Today Im a Simpson College fo a own hall along wih @janeosandes, Rep. @PamilaJayapal and Rep. @IlhanMN. Wach live: hps://.co/MRRfxLX8o"
1223667657016250368,2020-02-01 18:01:18,"No pesiden, no mae how well-inenioned, can ansfom his couny alone. I need you o be a pa of his movemen. Tha is wha #NoMeUs is all abou."
1223651987759255558,2020-02-01 16:59:02,"Ou job is o give people hope. If we sand ogehe, hee is nohing ha we canno accomplish. hps://.co/ELVAypiJM4"
1223459148370714625,2020-02-01 04:12:46,"$10 may no seem like he kind of money ha can win an elecion, bu someone jus gave ha amoun o ou campaign.
By he ime you'e done eading his, someone else will do he same.
I all adds up.
Tha's how we win. Chip in hee: hps://.co/2qi6DLjJDX"
1223409072755494912,2020-02-01 00:53:47,"Togehe, we can win his elecion and ansfom he couny. Wach ou fis Caucus Conce feauing @bonive, live in Clive, Iowa! hps://.co/bJixdOdZHc"
1223407677553938433,2020-02-01 00:48:14,"Fo my enie caee I have fough o poec and expand Social Secuiy. Afe we defea Donald Tump, ogehe, ha is exacly wha we will do. hps://.co/BhPMFaY2lu"
1223390310430117888,2020-01-31 23:39:14,RT @janeosandes: Gea alking small business wih such an incedible cowd of communiy leades and small business ownes. Having a wonde¶
1223378363886252032,2020-01-31 22:51:45,Today is a sad day fo democacy. hps://.co/A7ApOib249
1223375245421268995,2020-01-31 22:39:22,"Thank you @LUCHA_AZ fo you endosemen! You know wha I know: o ansfom his couny and bing abou economic, acial, social and envionmenal jusice, we need o build a divese gassoos movemen. Togehe, well figh fo he human ighs of all people. #LUCHAconBenie hps://.co/Rm4a6u0PJ3"
1223372998025064448,2020-01-31 22:30:26,"RT @zeohoumvm: ö® BREAKING NEWS ö® 
THE ZERO HOUR MOVEMENT OFFICIALLY ENDORSES BERNIE SANDERS FOR PRESIDENT OF THE UNITED STATES!
#ZeoH¶"
1223372478397009929,2020-01-31 22:28:22,"RT @Jamie_Magolin: ö®BREAKING NEWS ö®
The Zeo Hou Movemen (@zeohoumvm) is officially endosing @BenieSandes fo pesiden!
#ZeoHo¶"
1223366291236454400,2020-01-31 22:03:47,I'm honoed o be endosed by @zeohoumvm. The young people of his couny have incedible powe when hey speak up and ge involved. Togehe we ae going o ave he climae cisis and ensue a susainable fuue fo all. hps://.co/HdFKRoudia
1223365255725768705,2020-01-31 21:59:40,"RT @yovimi: Why is he @BenieSandes #disabiliy plan so good? Le's go ove some of he highlighs. Because us me, I'd be a lo less o¶"
1223362594611830784,2020-01-31 21:49:06,"I is ouageous ha Donald Tump coninues o push a acis avel policy ha dehumanizes immigans and hei families fo his own poliical puposes. 
On day one of my adminisaion, I will oveun his xenophobic and disciminaoy ban. hps://.co/ihVEFGxvno"
1223360740767088640,2020-01-31 21:41:44,"The Iowa caucus is jus hee days away and now, moe han eve, is he ime o ge involved and sand agains Tumps coupion and hae. Join ou live own hall fom Ceson, Iowa wih @janeosandes and @MMFlin: hps://.co/CpEjLmNymq"
1223357180264488960,2020-01-31 21:27:35,"If you've been waiing fo he igh ime o conibue o ou campaign, now is he ime. Ou final FEC fundaising deadline befoe he Iowa caucus is onigh a midnigh. We need a lo of donaions o each ou goals. Can you chip in?
hps://.co/fckoc0zLbh"
1223342032413962240,2020-01-31 20:27:23,"If I had Medicae fo All in 2012, Id sill be woking. I wouldn be siing hee dying in my own home. And I don wan ha o happen o anybody else."" ìJim Williams hps://.co/FbvjpkMmle"
1223335970424213504,2020-01-31 20:03:18,RT @aneeman: I'm poud o have woked wih a fanasic goup of aciviss o help develop @BenieSandes's disabiliy policy plan. (1) #Ci¶
1223333459105583105,2020-01-31 19:53:19,"Congaulaions o he membes of @TanspoWoke union and @MachinissUnion fo his gea vicoy. In ou adminisaion, we will double union membeship and help moe wokes win he digniy hey deseve.
¬†hps://.co/pTMi8PhFz6"
1223310685645438976,2020-01-31 18:22:50,"Fom he sa of his campaign, we knew we would be aking on he enie poliical esablishmen, he copoae media, and he financial elie of his couny.
Bu if we sand ogehe, we ae going o win.
Chip in befoe ou deadline onigh: hps://.co/bswKcWzVEN"
1223303851828305920,2020-01-31 17:55:40,Have you eve eceived an unexpeced medical bill?
1223284115866296323,2020-01-31 16:37:15,We canno keep a sysem ha foces people wih disabiliies ino nusing homes and insiuions o pad he pofis of hei insuance companies. Well end Iowas pivaized sysem ha les insues make money by denying cae o people wih disabiliies. hps://.co/CfXu3ShX4H
1223273808368369666,2020-01-31 15:56:17,"RT @PamilaJayapal: Geing my moning saed hee in #Iowa wih some gea volunees in Council Bluffs! 
Wee ALL in fo @BenieSande¶"
1223258643459723264,2020-01-31 14:56:02,"Togehe, we will poec and expand Social Secuiy Disabiliy Insuance and SSI by evesing Tumps aack on hese lifelines, ending asse ess and maiage penalies, and aising he SSI benefi level o 125% of he povey level, lifing millions ou of povey. hps://.co/dEvOl1Avhs"
1223233420995760128,2020-01-31 13:15:48,"Evey peson wih a disabiliy deseves he igh o live in hei communiy and have he suppo hey need o hive.
This is an issue of fundamenal civil ighs, and we will no wai o advance disabiliy ighs.
Read ou plan hee: hps://.co/CfXu3ShX4H"
